,Ticker,Announced,Closed
0,ASTS,12/16/2020,4/6/2021
1,INVZ,12/11/2020,4/5/2021
2,FOA,10/13/2020,4/1/2021
3,PSFE,12/7/2020,3/30/2021
4,ARVL,11/18/2020,3/24/2021
5,NVVE,11/12/2020,3/22/2021
6,LBPS,10/22/2020,3/19/2021
7,PCT,11/16/2020,3/17/2021
8,AEVA,11/2/2020,3/12/2021
9,OUST,12/22/2020,3/11/2021
10,VIEW,11/30/2020,3/8/2021
11,CHPT,9/24/2020,2/26/2021
12,BFLY,11/20/2020,2/12/2021
13,NUVB,10/21/2020,2/10/2021
14,PLBY,10/1/2020,2/10/2021
15,MILE,11/24/2020,2/9/2021
16,GMTX,10/15/2020,2/5/2021
17,ETWO,10/14/2020,2/4/2021
18,ADN,10/13/2020,2/4/2021
19,APPH,9/29/2020,1/29/2021
20,UWMC,9/23/2020,1/21/2021
21,LOTZ,10/22/2020,1/21/2021
22,HIMS,10/1/2020,1/20/2021
23,BTRS,10/19/2020,1/12/2021
24,CLOV,10/6/2020,1/7/2021
25,LSEA,8/31/2020,1/7/2021
26,BMTX,8/6/2020,1/4/2021
27,CLNN,9/2/2020,12/30/2020
28,DNMR,10/5/2020,12/29/2020
29,GNOG,6/29/2020,12/29/2020
30,RMO,10/5/2020,12/29/2020
31,RSI,7/27/2020,12/29/2020
32,PRCH,7/31/2020,12/23/2020
33,VINC,9/29/2020,12/23/2020
34,ARKO,9/9/2020,12/22/2020
35,ASLE,12/9/2019,12/22/2020
36,XL,9/18/2020,12/21/2020
37,GOEV,8/18/2020,12/21/2020
38,CLVR,7/27/2020,12/18/2020
39,OPEN,9/15/2020,12/18/2020
40,SKLZ,9/2/2020,12/16/2020
41,BFI,6/30/2020,12/16/2020
42,RVPH,7/21/2020,12/14/2020
43,DM,8/26/2020,12/9/2020
44,HTOO,6/8/2020,12/9/2020
45,LAZR,8/24/2020,12/2/2020
46,QS,9/3/2020,11/25/2020
47,ID,9/21/2020,11/20/2020
48,MP,7/15/2020,11/18/2020
49,UK,7/6/2020,11/17/2020
50,GCMG,8/3/2020,11/17/2020
51,EOSE,9/8/2020,11/16/2020
52,TRIT,7/29/2020,11/10/2020
53,ATNF,7/26/2019,11/6/2020
54,TLMD,7/29/2020,10/30/2020
55,FSR,7/13/2020,10/29/2020
56,ADV,9/8/2020,10/28/2020
57,CERE,7/30/2020,10/27/2020
58,RIDE,8/3/2020,10/23/2020
59,PAYA,8/3/2020,10/16/2020
60,TTCF,6/12/2020,10/15/2020
61,CURI,8/11/2020,10/14/2020
62,SFT,6/29/2020,10/13/2020
63,MPLN,7/12/2020,10/8/2020
64,HYLN,6/19/2020,10/1/2020
65,EQOS,,9/30/2020
66,VLDR,7/2/2020,9/29/2020
67,GB,1/16/2020,8/28/2020
68,UTZ,6/5/2020,8/28/2020
69,HPK,7/7/2020,8/21/2020
70,DMS,4/23/2020,7/15/2020
71,IMTX,3/17/2020,7/1/2020
72,HOFV,,7/1/2020
73,FREE,,6/25/2020
74,LGHL,3/11/2020,6/16/2020
75,LPRO,1/6/2020,6/10/2020
76,NKLA,3/3/2020,6/3/2020
77,HYMC,1/14/2020,5/29/2020
78,SJ,11/1/2019,5/7/2020
79,DKNG,12/23/2019,4/23/2020
80,,,4/17/2020
81,AVCT,7/25/2019,4/7/2020
82,,,3/31/2020
83,METX,12/12/2019,3/30/2020
84,IGIC,10/10/2019,3/17/2020
85,BWMX,8/5/2019,3/12/2020
86,GDYN,11/13/2019,3/5/2020
87,ALTG,12/12/2019,2/14/2020
88,ATCX,8/13/2019,2/14/2020
89,GSMG,,2/14/2020
90,PAE,11/1/2019,2/10/2020
91,VRT,12/10/2019,2/7/2020
92,VVNT,9/16/2019,1/17/2020
93,KLDI,5/20/2019,12/20/2019
94,BROG,,12/20/2019
95,NFH,7/30/2019,12/19/2019
96,IMVT,10/2/2019,12/18/2019
97,,,12/16/2019
98,KLR,2/26/2019,11/25/2019
99,ACEL,6/13/2019,11/20/2019
100,BRMK,8/12/2019,11/14/2019
101,AHCO,7/8/2019,11/8/2019
102,,,11/7/2019
103,PHGE,7/16/2019,10/28/2019
104,SPCE,7/9/2019,10/25/2019
105,GTEC,,10/24/2019
106,SONG,1/24/2019,9/11/2019
107,DMTK,5/29/2019,8/29/2019
108,AESE,12/19/2018,8/9/2019
109,CTOS,4/8/2019,7/31/2019
110,RPAY,1/22/2019,7/11/2019
111,ISUN,2/27/2019,6/19/2019
112,KERN,10/11/2018,6/17/2019
113,PACK,12/13/2018,6/3/2019
114,XYNO,9/13/2018,5/14/2019
115,CLVT,1/14/2019,5/13/2019
116,KXIN,11/6/2018,4/30/2019
117,,,4/17/2019
118,,,3/31/2019
119,HUNTF,10/5/2018,3/21/2019
120,OSW,11/1/2018,3/19/2019
121,TH,11/13/2018,3/15/2019
122,BIOX,11/9/2018,3/14/2019
123,GTYH,9/12/2018,2/19/2019
124,AGLY,8/13/2018,1/4/2019
125,PHUN,2/28/2018,12/26/2018
126,RBZHF,9/4/2018,12/19/2018
127,ORGO,8/17/2018,12/11/2018
128,BBCP,9/7/2018,12/6/2018
129,WINR,5/8/2018,11/21/2018
130,WTRH,6/29/2020,11/15/2018
131,ALTM,8/8/2018,11/9/2018
132,USWS,7/16/2018,11/9/2018
133,SG,6/25/2018,11/5/2018
134,,,11/1/2018
135,NRCG,9/21/2018,10/17/2018
136,VRRM,6/21/2018,10/17/2018
137,FLMN,6/4/2018,8/23/2018
138,HFFG,3/28/2018,8/22/2018
139,,,8/15/2018
140,MGY,3/20/2018,7/31/2018
141,IMXI,12/19/2017,7/26/2018
142,PRTH,2/27/2018,7/25/2018
143,,,6/5/2018
144,NESR,11/13/2017,5/18/2018
145,IEA,11/3/2017,3/26/2018
146,LAZY,10/27/2017,3/15/2018
147,CVON,,2/22/2018
148,PRPL,11/3/2017,2/22/2018
149,AMRQQ,8/16/2017,2/9/2018
150,CCNC,8/28/2017,2/6/2018
151,ESTR,8/16/2017,12/21/2017
152,FG,5/24/2017,11/30/2017
153,WSC,8/21/2017,11/29/2017
154,,,11/3/2017
155,RMNI,5/16/2017,10/10/2017
156,,,10/2/2017
157,BRQS,12/27/2016,8/18/2017
158,NEXT,4/18/2017,7/24/2017
159,XELA,2/22/2017,7/12/2017
160,SMPL,9/8/2020,7/7/2017
161,CISN,3/20/2017,6/30/2017
162,ROSE,12/20/2016,4/27/2017
163,PLYA,12/13/2016,3/13/2017
164,DSKE,,2/27/2017
165,IFMK,7/27/2016,2/13/2017
166,VVPR,8/11/2016,12/28/2016
167,TWNK,,11/4/2016
168,CDEV,7/22/2016,10/11/2016
169,CCN,3/7/2016,7/29/2016
