SPAC,Newco,Ticker,Announced,Closed,TEV ($M),TEV/IPO,Sector,Geography,Redeemed,Common,Warrant,Institutional Ownership,Chairman,CEO,President,COO,CFO,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Director 7,Director 8,Director 9,Director 10,Director 11,Director 12,Director 13,Director 14,Director 15,Date +3mo,Date +6mo,Date +12mo,Date +0mo Price,Date +3mo Price,Date +6mo Price,Date +12mo Price
New Providence Acq,AST SpaceMobile,ASTS,12/16/2020,4/6/2021,"1,392",605%,Technology,US/Canada,,$8.96 ,$2.69 ,55.6725,Abel Avellan,Abel Avellan,#N/A,#N/A,"Thomas E. Severson, Jr., CPA",Tareq Amin,Adriana Cisneros de Griffin,"Alex Coleman, MBA",Luke Ibbetson,"Edward Knapp, MBA","Hiroshi Mikitani, MBA",Ronald Rubin,"Richard Sarnoff, MBA","Thomas E. Severson, Jr., CPA","Julio A. Torres, MBA",,,,,,7/5/2021,10/3/2021,4/1/2022,#N/A,8.66,#N/A,#N/A
Collective Growth,Innoviz Technologies,INVZ,12/11/2020,4/5/2021,"1,033",689%,Automotive,Europe,,$11.04 ,$2.85 ,4.09,Amichai Steimberg,"Omer David Keilaf, MBA",#N/A,Udy Gal-On,Eldar Cegla,Aharon Aharon,"Dan Michael Falk, MBA","Omer David Keilaf, MBA",Ronit Maor,"Oren Rosenzweig, MBA","James Sheridan, MBA","Orit Stav, MBA",,,,,,,,,7/4/2021,10/2/2021,3/31/2022,#N/A,10.845,#N/A,#N/A
Replay Acq,Finance of America,FOA,10/13/2020,4/1/2021,"2,012",700%,Financial,US/Canada,68.70%,$10.10 ,$1.29 ,69.7866,"Brian Lewis Libman, MBA","Patricia L. Cook, MBA",#SPILL!,#N/A,"Johan Gericke, MBA",Menes O. Chee,"Patricia L. Cook, MBA",Norma Corio,Robert W. Lord,Tyson Anwar Pratcher,Lance N. West,,,,,,,,,,6/30/2021,9/28/2021,3/27/2022,#N/A,10.085,#N/A,#N/A
Foley Trasimene II,Paysafe,PSFE,12/7/2020,3/30/2021,"9,000",613%,Financial,US/Canada,0.00%,$13.05 ,,35.4826,"William Patrick Foley, II, MBA","Philip McHugh, MBA",#N/A,"Danny Chazonoff, MBA","Izzy Dawood, CFA, MBA",Matthew George Alfred Bryant,Anthony M. Jabbour,Dagmar P. Kollmann,"Walter Minnes MacNee, MBA","Philip McHugh, MBA",Jonathan Murphy,"James Joseph Murren, CFA","Eli Nagler, MBA","Peter William James Rutland, MBA",Hilary Stewart-Jones,,,,,,6/28/2021,9/26/2021,3/25/2022,#N/A,13.045,#N/A,#N/A
CIIG Merger,Arrival,ARVL,11/18/2020,3/24/2021,"5,400",2087%,Automotive,Europe,0.10%,$13.18 ,$4.15 ,1.2499,"F. Peter Cuneo, MBA",Denis Sverdlov,Avinash Rugoobur,#N/A,Timothy Bruce Holbrow,"Tawni Cranz, EMBA","Alain Kinsch, MBA",Kristen M. O'Hara,"Jae Oh, MBA",Avinash Rugoobur,"Rexford J. Tibbens, MBA",,,,,,,,,,6/22/2021,9/20/2021,3/19/2022,#N/A,13.23,#N/A,#N/A
Newborn Acq,Nuvve,NVVE,11/12/2020,3/22/2021,132,230%,Automotive,Asia,0.00%,$9.58 ,$1.43 ,13.9155,"Gregory Poilasne, PhD, MBA","Gregory Poilasne, PhD, MBA","Ted Smith, CFA, MBA","Ted Smith, CFA, MBA","David G. Robson, CPA","Richard A. Ashby, MBA",Angela Strand Boydston,"Jon M. Montgomery, MBA","H. David Sherman, PhD, MBA","Ted Smith, CFA, MBA",Kenji Yodose,,,,,,,,,,6/20/2021,9/18/2021,3/17/2022,#N/A,9.3807,#N/A,#N/A
Longevity Acq,4D Pharma,LBPS,10/22/2020,3/19/2021,184,461%,Healthcare,Asia,66.10%,$12.37 ,$1.11 ,#N/A,"Axel Gaston Glasmacher, MD",Duncan Peyton,#N/A,#N/A,"John W. Beck, CPA","Edgardo Baracchini, Jr., PhD","Alexander D. Macrae, PhD","Paul Victor Maier, MBA",Duncan Peyton,"Katrin Rupalla, PhD","Alexander James Stevenson, PhD, MBA",,,,,,,,,,6/17/2021,9/15/2021,3/14/2022,#N/A,12.3277,#N/A,#N/A
Roth CH,PureCycle Technologies,PCT,11/16/2020,3/17/2021,826,1080%,Industrial,US/Canada,0.10%,$27.90 ,$16.30 ,6.3815,Michael Otworth,Michael Otworth,#N/A,#N/A,Michael E. Dee,"Richard Brenner, MBA",Tanya Burnell,"Jeffrey Richard Fieler, MBA",Timothy E. Glockner,"Fernando Musa, MBA","John Scott, PhD",,,,,,,,,,6/15/2021,9/13/2021,3/12/2022,#N/A,28.23,#N/A,#N/A
InterPrivate Acq,Aeva,AEVA,11/2/2020,3/12/2021,"1,803",747%,Automotive,US/Canada,1.30%,$10.44 ,$3.11 ,7.1764,Mina Rezk,Soroush Salehian Dardashti,Mina Rezk,#N/A,Saurabh Sinha,"Shahin Farshchi, PhD",Ahmed Mohamed Fattouh,Hrach Simonian,,,,,,,,,,,,,6/10/2021,9/8/2021,3/7/2022,13.04,10.63,#N/A,#N/A
Colonnade Acquisition,Ouster,OUST,12/22/2020,3/11/2021,"1,570",785%,Industrial,US/Canada,0.30%,$8.91 ,$2.33 ,5.262,Carl Bass,Angus Pacala,#N/A,Darien Spencer,"Anna Brunelle, CPA",Jorge A. del Calvo,"Emmanuel T. Hernandez, CPA",Susan Heystee,Sundari Mitra,Angus Pacala,"Remy White Trafelet, CFA",,,,,,,,,,6/9/2021,9/7/2021,3/6/2022,#N/A,8.905,#N/A,#N/A
